1,10,14,4971423.469,0.0049714,3056,1301693.878,98,11,2,FALSE
2,10,10,4863303,0.0048633,223,502751,100,11,1,FALSE
3,10,12,4616924.444,0.0046169,2302,1185665.778,225,11,2,FALSE
4,10,11,4581093.074,0.0045811,4974,1802941.991,231,11,2,FALSE
5,20,24,30318700,0.0303187,1526,7192174.194,31,19,10,FALSE
6,20,24,29636025.93,0.029636,1684,4711981.481,27,19,2,FALSE
7,20,27,31384614.29,0.0313846,522,3167014.286,28,19,1,FALSE
8,20,25,29409726.47,0.0294097,2866,7910079.412,34,19,1,FALSE
9,40,52,219050800,0.2190508,2137,59035825,4,28,6,FALSE
10,40,54,232151900,0.2321519,1446,22588275,4,28,2,FALSE
11,40,51,214365300,0.2143653,648,22948025,4,28,7,FALSE
12,40,50,221243350,0.2212434,2486,50220300,4,28,3,FALSE
13,60,82,792061400,0.7920614,1282,409333500,1,35,18,FALSE
14,60,72,795775400,0.7957754,299,118109700,1,35,5,FALSE
15,60,83,745546700,0.7455467,2113,42686000,1,35,2,FALSE
16,60,79,756588000,0.756588,159,28053800,1,35,1,FALSE
17,80,101,1854153600,1.8541536,969,54226300,1,40,1,FALSE
18,80,105,1853109700,1.8531097,1756,144482700,1,40,3,FALSE
19,80,108,1877795300,1.8777953,714,43785800,1,40,1,FALSE
20,80,108,1890356500,1.8903565,0,657175500,1,40,14,FALSE
21,100,128,3822479800,3.8224798,341,98751800,1,44,1,FALSE
22,100,120,3904696700,3.9046967,890,169907100,1,44,2,FALSE
23,100,125,3799815500,3.7998155,772,79470200,1,44,1,FALSE
24,100,133,3690226800,3.6902268,1561,173948600,1,44,2,FALSE
25,150,197,14685312900,14.6853129,951,267977700,1,52,1,FALSE
26,150,206,14352319600,14.3523196,424,271281700,1,52,1,FALSE
27,150,195,14121165100,14.1211651,1153,1623311000,1,52,6,FALSE
28,150,198,14141293100,14.1412931,707,826045700,1,52,3,FALSE
29,200,276,36262523500,36.2625235,484,4379531200,1,58,7,FALSE
30,200,260,35547823600,35.5478236,850,7959029200,1,58,13,FALSE
31,200,269,37003481300,37.0034813,1382,2519954200,1,58,4,FALSE
32,200,274,35764033600,35.7640336,1102,2441662600,1,58,4,FALSE
33,250,317,73977707200,73.9777072,346,1207223300,1,63,1,FALSE
34,250,322,74949080800,74.9490808,0,9386047100,1,63,8,FALSE
35,250,338,74678935200,74.6789352,129,1233389600,1,63,1,FALSE
36,250,326,75298502400,75.2985024,670,1164748900,1,63,1,FALSE
37,300,403,1.40E+11,139.5622195,1137,2036614300,1,68,1,FALSE
38,300,393,1.55E+11,154.554375,869,20747752300,1,68,10,FALSE
39,300,408,1.44E+11,144.3122914,868,17041088200,1,68,8,FALSE
40,300,411,1.37E+11,137.4575213,1148,20296483000,1,68,10,FALSE
41,350,468,2.30E+11,229.5758596,676,6436552700,1,71,2,FALSE
42,350,475,2.32E+11,232.0913058,0,64440896800,1,71,20,FALSE
43,350,462,2.28E+11,227.6665919,818,16278320100,1,71,5,FALSE
44,350,474,2.28E+11,228.0600404,175,6549685100,1,71,2,FALSE
45,400,543,3.60E+11,360.4574504,508,9508064800,1,75,2,FALSE
46,400,527,3.58E+11,357.6185454,904,9557586900,1,75,2,FALSE
47,400,526,3.60E+11,360.2154085,362,4979233800,1,75,1,FALSE
48,400,525,3.68E+11,367.5046882,509,38960100000,1,75,8,FALSE
49,450,595,5.47E+11,546.7849338,400,6970796400,1,78,1,FALSE
50,450,602,5.47E+11,546.8291033,364,6965237500,1,78,1,FALSE
51,450,593,5.18E+11,517.8778996,336,26475021300,1,78,4,FALSE
52,450,594,6.15E+11,614.9765136,639,13466170000,1,78,2,FALSE
53,500,670,9.67E+11,966.7981064,43,23310080800,1,80,2,FALSE
54,500,671,1.01E+12,1005.748041,805,2.46E+11,1,80,21,FALSE
55,500,670,8.66E+11,866.3529116,363,11360341100,1,80,1,FALSE
56,500,666,8.48E+11,847.6328319,584,45385248400,1,80,4,FALSE
