pcb442         ,442            ,73030       ,387830766.6666667   ,0.3878308           ,3                   
d493           ,493            ,44892       ,524096500.0         ,0.5240965           ,1                   
dsj1000        ,1000           ,25086767    ,1688816200          ,1.6888162           ,1                   
burma14        ,14             ,3814        ,417717.707212056    ,0.0004177           ,1858                
ulysses16      ,16             ,7903        ,723596.8961625282   ,0.0007236           ,1772                
ulysses22      ,22             ,8401        ,880009.3535075653   ,0.0008800           ,727                 
eil51          ,51             ,581         ,3586098.5714285714  ,0.0035861           ,210                 
berlin52       ,52             ,10114       ,4551432.599118942   ,0.0045514           ,227                 
kroD100        ,100            ,27112       ,18001875.609756097  ,0.0180019           ,41                  
kroA100        ,100            ,27210       ,13904398.039215686  ,0.0139044           ,51                  
ch150          ,150            ,8347        ,49650276.92307692   ,0.0496503           ,26                  
gr202          ,202            ,51990       ,70062728.57142857   ,0.0700627           ,14                  
gr229          ,229            ,180152      ,100663340.0         ,0.1006633           ,10                  
pcb442         ,442            ,73030       ,296965166.6666667   ,0.2969652           ,3                   
d493           ,493            ,44892       ,561537200.0         ,0.5615372           ,2                   
dsj1000        ,1000           ,25086767    ,1312160500          ,1.3121605           ,1                   
burma14        ,14             ,3814        ,457288.3540372671   ,0.0004573           ,1932                
ulysses16      ,16             ,7903        ,977872.6976365119   ,0.0009779           ,1227                
ulysses22      ,22             ,8401        ,1121979.268292683   ,0.0011220           ,492                 
eil51          ,51             ,581         ,5042645.604395605   ,0.0050426           ,182                 
berlin52       ,52             ,10114       ,5106119.282511211   ,0.0051061           ,223                 
kroD100        ,100            ,27112       ,20565164.102564104  ,0.0205652           ,39                  
kroA100        ,100            ,27210       ,17552064.788732395  ,0.0175521           ,71                  
ch150          ,150            ,8347        ,50788951.85185185   ,0.0507890           ,27                  
gr202          ,202            ,51990       ,67481346.15384616   ,0.0674813           ,13                  
gr229          ,229            ,180152      ,85200481.81818181   ,0.0852005           ,11                  
pcb442         ,442            ,73030       ,293931866.6666667   ,0.2939319           ,3                   
d493           ,493            ,44892       ,562023600.0         ,0.5620236           ,2                   
dsj1000        ,1000           ,25086767    ,1288292000          ,1.2882920           ,1                   
